Code_ADN	Og_acc	MOY1720_M1	MOY1720_M2	MOY1720_M3	MOY1720	MOY1720norm	MOY1720_M1norm	MOY1720_M2norm	MOY1720_M3norm
GH	297	0.4097664855	0.2130162439	0.4677767205	0.3635198166	0.224541279269601	0.509134329401741	0.525790291727397	0.579914530776271
GI	280	0.3794847969	0.3325045108	0.4300144493	0.380667919	0.243498185417354	0.472738153036935	0.546666581566161	0.533682717687212
GK	188	-0.1274334016	0.4806045457	-0.0515147512	0.100552131	-0.0488314625801387	-0.0759144889346435	0.221274080045181	-0.00151417743730346
GL	43	0.3707797806	0.0979696284	0.1011250327	0.1899581473	0.0403546914341445	0.462346203962821	0.321437649383315	0.156698497447124
GM	115	0.5140278443	0.5050065599	0.4785932002	0.4992092014	0.378120146436644	0.637326938827251	0.694237368296498	0.593263939581792
GN	243	0.0497035095	-0.1362521672	0.0796703257	-0.0022927773	-0.146338224212492	0.102148881086505	0.110557368087699	0.133787228199878
GP	156	0.3213924567	0.438976323	0.4539298826	0.4047662208	0.270362197231524	0.403992834692948	0.576207492653996	0.562894459397904
GQ	12	-0.5572815235	-0.8079870063	-0.8129562941	-0.7260749413	-0.637583115022645	-0.436094429558795	-0.508075705965257	-0.589726808167155
GR	121	0.4566345226	-0.3968308361	-0.0898902165	-0.0100288433	-0.153444623925791	0.56621278055104	0.1024295710815	-0.0394897240161243
GT	412	0.16405578	0.1703739404	-0.3184192141	0.0053368354	-0.139297779810811	0.225131761069747	0.118601169064419	-0.249507129412565
HA	41	-0.0869020696	-0.3110928249	-0.030660142	-0.1428850122	-0.270257394067237	-0.0365595055657943	-0.0326131558369512	0.019433066288162
HB	426	0.326056965	0.1174892289	0.5519404677	0.3318288872	0.189859514919721	0.409459917768271	0.487528694665147	0.685027064790141
HC	169	0.3824342384	-0.2942534892	-0.1395046372	-0.0171079626	-0.159918943349854	0.476266355032381	0.0950169839046279	-0.0874709408442146
HD	191	0.5593517649	0.1341910875	0.570687032	0.4214099615	0.289067596204997	0.694418220673447	0.596748082567366	0.708823457640499
HE	109	0.2855974345	-0.1560040401	0.4533342729	0.1943092224	0.0447964834320843	0.36234928025978	0.326402707264182	0.562164106843817
HF	190	0.0874696597	0.642321172	0.3494190156	0.3597366158	0.220376959813429	0.142091116055262	0.521200865258701	0.43698086748985
HG	404	-0.158481366	-0.1625680995	0.3814952371	0.0201485905	-0.125540079678135	-0.105483832066596	0.134295610286611	0.475142701676037
HH	408	0.3057805982	0.6940547468	0.3319282199	0.4439211883	0.314562565281961	0.385762469685566	0.62470788474066	0.416354561350232
HK	17	-0.0303465504	-0.2572882989	0.0027723487	-0.0949541669	-0.229276803553624	0.0197497001245011	0.0151022862501762	0.0534625733614559
HL	61	0.188685727	0.6566633123	-0.0194089914	0.2753133493	0.129160842432573	0.252407250041941	0.420336401178127	0.0308237817226858
HM	158	0.1562003283	-0.2660355438	-0.0618536308	-0.0572296154	-0.196090564816822	0.216490310767146	0.0534605581035765	-0.0118184339515345
HN	407	0.2058064568	-0.3306172444	0.3016396727	0.0589429617	-0.0889516085354261	0.271527673078329	0.175889228336551	0.380944542689199
