"Code_ADN" "x" "y" "tmaxPC1" "tmaxPC2" "bioPC1" "bioPC2"
"74" "KK" "-6.41039" "9.893882" "0.182472758908686" "-1.41577524228824" "0.17303394669077" "-0.606379618079548"
"75" "KL" "-10.2067501" "8.3599972" "1.37458545020117" "-0.211372916756191" "3.97372411489419" "1.4095815943265"
"76" "KM" "13.61667" "10.411667" "3.94339783534298" "1.13016437325778" "0.216880884618038" "3.29977822014709"
"77" "KP" "-11.318889" "9.998333" "1.34127725609103" "-0.542698368045231" "0.353644273477849" "1.92772315492104"
"78" "KR" "-7.774722" "8.258333" "4.38793786939015" "-0.212504821839659" "3.06289691977408" "2.02943300751882"
"79" "KT" "5.3939551" "13.1177202" "-4.1776671525224" "0.765452892607347" "-4.09437408542082" "-0.579779889681993"
"80" "KV" "-9.428333" "6.452222" "3.14424553993013" "0.835841482363542" "6.17705637498683" "-0.0516687220086093"
"81" "LA" "-15.644316" "12.519666" "-0.347580767409522" "0.195478235823081" "-0.889569103209664" "-0.55154996356979"
"82" "LB" "17.16667" "8.75" "-2.64792893393527" "-3.03292637390132" "-1.81273298693858" "-0.785601117122068"
"83" "LC" "-11.318889" "9.998333" "1.34127725609103" "-0.542698368045231" "0.353644273477849" "1.92772315492104"
"84" "LD" "-8.262222" "12.206389" "-3.15204638246774" "-0.628073770715355" "-2.45017349209193" "-0.299977759041652"
"85" "LG" "-10.5718086" "8.2802196" "2.07613362689608" "-0.165411744096774" "4.21814595008172" "-0.245339329508752"
"86" "LI" "-11.795833" "8.464444" "1.95839041627954" "-0.1279586915649" "3.90785186258826" "-3.10086186030342"
"87" "LK" "-12.1632718" "9.2475837" "0.983391969295016" "-1.12385451908574" "2.22276306575318" "-2.9617068480594"
"88" "LM" "-10.5718086" "8.2802196" "2.07613362689608" "-0.165411744096774" "4.21814595008172" "-0.245339329508752"
"89" "LP" "-8" "12.66667" "-2.50737346404477" "-1.13673408570274" "-2.21683823399893" "-0.545405789770073"
"90" "LR" "16.33333333" "9.08333333" "-2.3674450871069" "-2.41566397694399" "-2.33260309208031" "-0.542701473921283"
"91" "LS" "8.674167" "9.084444" "1.91507685302352" "-0.702575782937443" "1.06298328626134" "-0.206129630335387"
"92" "MA" "5.2249797" "13.0329227" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"93" "MB" "-12.218" "9.999" "5.8381612697887" "-0.211714868207653" "2.86056608461921" "0.600355669974038"
"94" "MC" "-11.116667" "10.75" "-0.539641279091678" "0.104654404138651" "-1.37613790874887" "1.74324487488003"
"95" "MD" "4.583333333" "12.9" "-4.06216798304562" "0.61833886503538" "-3.36805624923535" "-0.963463497837633"
"96" "ME" "4.5366632" "12.7494862" "-3.93307179423668" "0.404970670521735" "-3.28908074395728" "-1.03329089308462"
"97" "MG" "13.8" "10.83333333" "4.65699661433734" "1.81443549687287" "0.219363869979836" "4.07231955271392"
"98" "MI" "-4.139722" "14.545278" "-3.17276383635911" "2.85256416415681" "-4.38464010100845" "0.0597845266499551"
"99" "ML" "-8.262" "12.208" "-3.15204638246774" "-0.628073770715355" "-2.45017349209193" "-0.299977759041652"
"100" "MN" "14.66666667" "9.333333333" "-1.19760358627116" "-1.18217009138741" "-1.62788687515406" "-1.0057793748727"
"101" "MP" "16.08333333" "9.25" "-2.35015263991968" "-2.3258461143309" "-2.00266882107667" "-1.03121336598983"
