Code_ADN	RL2011	PBN2011	PBL2011	PBintL2011	SBN2011	SBL2011	SBintL2011	SPN2011
KH	19.80888889	13.22222222	11.29777778	1.643888889	6.777777778	2.092222222	1.575555556	103.1111111
KI	15.40294118	12.05882353	10.38352941	1.424705882	9.764705882	2.504117647	1.321176471	94.70588235
KN	23.78833333	17.66666667	9.965	1.451666667	4.083333333	1.533333333	1.075833333	132.8333333
KQ	13.935	9.5	9.400625	1.83375	6.25	2.714375	1.5575	58.8125
LA	16.41888889	8.111111111	10.97777778	2.367777778	9.111111111	2.535555556	1.116666667	59.55555556
LB	22.615	12.94444444	11.47111111	1.907777778	2.222222222	1.704444444	1.095	94.22222222
LE	18.43764706	11.52941176	10.26941176	1.837647059	4	2.292941176	1.605882353	77.35294118
LF	18.82588235	11.88235294	10.63117647	1.815294118	4.529411765	2.328235294	1.516470588	85.94117647
LG	18.58615385	9.692307692	10.70230769	2.196153846	1.923076923	1.603076923	1.114615385	60.46153846
LH	19.807	10.2	11.832	2.16	6.2	2.933	1.645	76.9
LK	19.53611111	10.88888889	11.26944444	1.986111111	5.555555556	2.228333333	1.913333333	72.61111111
LL	16.06277778	14.11111111	10.57388889	1.244444444	10.44444444	2.425	1.476666667	116.2777778
LM	14.95285714	12.28571429	11.08642857	1.382142857	8.5	2.242857143	1.727142857	105.0714286
LQ	17.58944444	13.16666667	10.19277778	1.515	5.777777778	2.153333333	1.185	98.38888889
LR	17.45222222	10.83333333	13.24	1.782777778	12.16666667	2.276111111	1.462222222	98.72222222
MA	18.115	12.5	9.432222222	1.615	4.777777778	2.176666667	1.243333333	84.38888889
MD	16.79058824	13.52941176	9.371764706	1.356470588	10.76470588	2.054117647	1.470588235	101.9411765
ME	19.64882353	14.05882353	10.04235294	1.520588235	2.176470588	1.398823529	0.988823529	103.4117647
MF	16.05333333	12.83333333	8.7	1.403333333	3.5	1.455833333	1.028333333	83
ML	21.83388889	15.16666667	9.683888889	1.572777778	7.777777778	2.275	1.532777778	121.1111111
MN	18.89444444	12.83333333	8.841111111	1.611666667	3.333333333	1.621666667	1.008333333	85.88888889
MQ	20.54857143	14.07142857	10.10785714	1.632142857	0.785714286	1.616428571	0.979285714	104.3571429
MR	16.54833333	11.55555556	9.378333333	1.602222222	2.444444444	0.903333333	0.810555556	85.55555556
MS	17.28555556	10.55555556	12.92111111	1.917777778	13	2.72	0.925555556	112.1111111
MT	15.95333333	7.444444444	7.982222222	2.555555556	2.777777778	2.478888889	1.621111111	42.44444444
MV	17.09388889	10.61111111	11.77944444	1.81	8.444444444	2.99	1.481666667	92.5
NC	14.77777778	9	11.42388889	1.871111111	12	2.912222222	0.99	80.77777778
NH	20.06055556	10.83333333	12.10833333	2.104444444	8.888888889	2.412222222	1.443888889	92.05555556
NI	18.17111111	11	10.12	1.859444444	2.777777778	1.761666667	1.218888889	78.61111111
